author,video_count,median_engagement_rate,median_views,max_views,median_efficiency,author_verified,confidence,already_large_reach,segment,promising_score
larsspeters,2,0.135393942600745,311300.0,590600,1.9675578153161953e-06,False,medium,False,Rising,0.108315154080596
sasha.editsx,1,0.27078470824949696,99400.0,99400,2.724192235910432e-06,False,low,False,Rising,0.1083138832997988
zopepijn,5,0.10716514954486346,66100.0,360800,1.5317185697808534e-06,False,high,False,Rising,0.10716514954486346
riggzie_smalls,2,0.13192490272373542,63900.0,102800,5.0552539175460645e-06,False,medium,False,Rising,0.10553992217898833
applepi.owo,1,0.25962216624685136,198500.0,198500,1.307920232981619e-06,False,low,False,Rising,0.10384886649874055
notetaking.aesthetic,1,0.25722408026755855,478400.0,478400,5.376757530676392e-07,False,low,False,Rising,0.10288963210702343
minamicheal78,1,0.2557878315132605,64100.0,64100,3.990449789598448e-06,False,low,False,Rising,0.10231513260530421
sumeyyecopoglu,1,0.25302333446060193,295700.0,295700,8.55675801354758e-07,False,low,False,Rising,0.10120933378424078
ayadoo79,2,0.12610345353077804,16521.5,23200,1.035584721076723e-05,False,medium,False,Rising,0.10088276282462244
the_volleyball_community,2,0.1252400684270707,1499950.0,2800000,3.3735828856279805e-07,False,medium,False,Rising,0.10019205474165656
piki__edits,1,0.2496629213483146,62300.0,62300,4.007430519234584e-06,False,low,False,Rising,0.09986516853932585
by.shahori,1,0.24747967479674796,49200.0,49200,5.030074690990812e-06,False,low,False,Rising,0.09899186991869918
potofrio21,1,0.24726315789473685,47500.0,47500,5.205540166204986e-06,False,low,False,Rising,0.09890526315789475
homemdeferro37,1,0.244798083504449,146100.0,146100,1.675551564027714e-06,False,low,False,Rising,0.0979192334017796
kiricallaghan,1,0.24235159817351598,87600.0,87600,2.7665707554054334e-06,False,low,False,Rising,0.0969406392694064
_itsmaxineofficial_,1,0.24031927023945268,87700.0,87700,2.7402425340872596e-06,False,low,False,Rising,0.09612770809578108
krotik26,2,0.11996273109562054,9699.5,12800,1.4255912597125783e-05,False,medium,False,Rising,0.09597018487649644
hklein99,1,0.23888682745825604,53900.0,53900,4.432037615181002e-06,False,low,False,Rising,0.09555473098330242
farmer.ralph,2,0.11861858480502549,109500.0,147500,1.2922100341164472e-06,False,medium,False,Rising,0.0948948678440204
benjamin_robert_graham,12,0.09382725937022846,33250.0,66800,2.282942338955486e-06,False,high,False,Rising,0.09382725937022846
mugiwara815,1,0.23189497716894977,87600.0,87600,2.6472029357186045e-06,False,low,False,Rising,0.09275799086757991
weeaboba10,1,0.23151744657830672,369700.0,369700,6.262305831168697e-07,False,low,False,Rising,0.0926069786313227
podi8596dila,1,0.2309090909090909,11000.0,11000,2.099173553719008e-05,False,low,False,Rising,0.09236363636363637
mo.rab,6,0.09197727272727273,43200.0,124000,1.8618375695804995e-06,False,high,False,Rising,0.09197727272727273
dopesnowco,2,0.11447168165071109,120850.0,183300,1.1865144959398162e-06,False,medium,False,Rising,0.09157734532056888
dianavhdn,2,0.11445964845740836,9495.0,11900,1.4455070156880737e-05,False,medium,False,Rising,0.09156771876592669
makott0,1,0.22793103448275862,49300.0,49300,4.623347555431209e-06,False,low,False,Rising,0.09117241379310345
funniest.f1.moments,7,0.09114922813036021,103600.0,530900,1.0634632673166058e-06,False,high,False,Rising,0.09114922813036021
my_procreationsss,1,0.22758907363420428,84200.0,84200,2.7029581191710723e-06,False,low,False,Rising,0.09103562945368171
mckinley.braun,1,0.2254306632213609,232200.0,232200,9.708469561643449e-07,False,low,False,Rising,0.09017226528854437
kenzi_campbell,1,0.22525547445255475,27400.0,27400,8.221002717246524e-06,False,low,False,Rising,0.09010218978102191
luukwatdenkenjij2.0,2,0.11122010695187165,570400.0,1100000,1.102404144623333e-06,False,medium,False,Rising,0.08897608556149733
buutterrr,1,0.22218006430868167,155500.0,155500,1.4288107029497213e-06,False,low,False,Rising,0.08887202572347268
_kehew_,1,0.2186906517251548,339100.0,339100,6.449149269394126e-07,False,low,False,Rising,0.08747626069006192
kwavyy_,1,0.21735294117647058,139400.0,139400,1.5592033082960587e-06,False,low,False,Rising,0.08694117647058824
animexo,1,0.21511904761904763,100800.0,100800,2.1341175359032503e-06,False,low,False,Rising,0.08604761904761905
simpnationluis,1,0.211194,1500000.0,1500000,1.4079599999999999e-07,False,low,False,Rising,0.0844776
the.nick.pro,1,0.2108231707317073,32800.0,32800,6.427535693039857e-06,False,low,False,Rising,0.08432926829268293
chqrlxstarr,1,0.2089653035935564,161400.0,161400,1.2947044832314523e-06,False,low,False,Rising,0.08358612143742256
westonsgarland,3,0.08238699847638395,123500.0,393800,4.3042829746430856e-07,False,high,False,Other,0.08238699847638395
lakmal143,1,0.2051008064516129,49600.0,49600,4.1350969042663895e-06,False,low,False,Rising,0.08204032258064517
n.ieke,1,0.2044925,1200000.0,1200000,1.7041041666666665e-07,False,low,False,Rising,0.08179700000000001
ziyadhodzic,1,0.20166666666666666,54000.0,54000,3.7345679012345677e-06,False,low,False,Rising,0.08066666666666666
munaseer3,1,0.199441398572463,9667.0,9667,2.0631157398620358e-05,False,low,False,Rising,0.0797765594289852
madduxplatt_t,1,0.19849056603773585,79500.0,79500,2.496736679719948e-06,False,low,False,Rising,0.07939622641509435
angel_waifu,1,0.19793768545994064,202200.0,202200,9.789203039561851e-07,False,low,False,Rising,0.07917507418397626
chloexsnowballx,1,0.1976578786020846,163100.0,163100,1.211881536493468e-06,False,low,False,Rising,0.07906315144083385
.danielsan.1,1,0.1900133155792277,75100.0,75100,2.530137357912486e-06,False,low,False,Rising,0.0760053262316911
sakuraflor,1,0.27114406779661016,47200.0,47200,5.7445777075553e-06,True,low,False,Proven,0.07592033898305084
venturadriana1,1,0.18873239436619718,71000.0,71000,2.658202737552073e-06,False,low,False,Rising,0.07549295774647888
lalisalopes,1,0.18835456475583864,94200.0,94200,1.999517672567289e-06,False,low,False,Rising,0.07534182590233546
r__o__w__d__y_,1,0.18764705882352942,11900.0,11900,1.5768660405338605e-05,False,low,False,Rising,0.07505882352941178
alysantana.tk,1,0.1862809917355372,12100.0,12100,1.5395123283928694e-05,False,low,False,Rising,0.07451239669421487
_thatblockhead,2,0.09213926605504588,52250.0,54500,1.7715791936705665e-06,False,medium,False,Rising,0.0737114128440367
rizwandurrani57,3,0.0736172672962035,5189.0,1900000,1.4187178126075064e-05,False,high,False,Other,0.0736172672962035
petyyyyyy,1,0.18258083333333333,1200000.0,1200000,1.5215069444444443e-07,False,low,False,Rising,0.07303233333333334
lizandraquel,1,0.18251908396946565,52400.0,52400,3.4831886253714816e-06,False,low,False,Rising,0.07300763358778627
onexpunchxdad,2,0.09095542720139495,161000.0,248000,9.636904729102643e-07,False,medium,False,Rising,0.07276434176111596
captain_morgan16,1,0.18094817432273264,6792.0,6792,2.6641368422074886e-05,False,low,False,Rising,0.07237926972909306
sankasandaruwan32,1,0.18086323452938116,9615.0,9615,1.881052881220813e-05,False,low,False,Rising,0.07234529381175246
un.simple_chico,1,0.1807072691552063,50900.0,50900,3.550241044306607e-06,False,low,False,Rising,0.07228290766208252
vniz_edits,1,0.17825049701789264,50300.0,50300,3.543747455624108e-06,False,low,False,Rising,0.07130019880715706
suzanenfreek,2,0.12727610482371393,231050.0,312600,6.37982612954639e-07,True,medium,False,Proven,0.07127461870127981
amen_716,1,0.17812280701754385,57000.0,57000,3.1249615266235765e-06,False,low,False,Rising,0.07124912280701755
nichking04,1,0.1774111111111111,90000.0,90000,1.9712345679012346e-06,False,low,False,Rising,0.07096444444444444
jufjoyce,1,0.17594827586206896,34800.0,34800,5.0559849385652e-06,False,low,False,Rising,0.07037931034482758
microsoftword2,1,0.17391454545454546,1100000.0,1100000,1.5810413223140495e-07,False,low,False,Rising,0.06956581818181819
daniii158,2,0.08662714662208115,37650.0,40100,2.276995112108019e-06,False,medium,False,Other,0.06930171729766492
danielryjov,1,0.17281903068030235,224900.0,224900,7.684261035140167e-07,False,low,False,Rising,0.06912761227212094
ksaeviore,1,0.1724550898203593,50100.0,50100,3.442217361683818e-06,False,low,False,Rising,0.06898203592814371
demireuvers,1,0.17211296016137165,198300.0,198300,8.679423104456462e-07,False,low,False,Rising,0.06884518406454866
emin.skenderovic,1,0.17134665965281431,190100.0,190100,9.013501296833998e-07,False,low,False,Rising,0.06853866386112573
gymclock,1,0.16787878787878788,75900.0,75900,2.211841737533437e-06,False,low,False,Rising,0.06715151515151516
_abbygray_,1,0.16753515914137676,135100.0,135100,1.2400825991219597e-06,False,low,False,Rising,0.0670140636565507
id_bullseye,1,0.16476190476190475,25200.0,25200,6.538170823885109e-06,False,low,False,Rising,0.0659047619047619
detroitnomad,1,0.16456983240223463,89500.0,89500,1.8387690771199401e-06,False,low,False,Rising,0.06582793296089386
roykevdh,3,0.06551552795031056,81000.0,252600,8.138574900659697e-07,False,high,False,Other,0.06551552795031056
choco_imaad_,1,0.16352059925093632,53400.0,53400,3.062183506571841e-06,False,low,False,Rising,0.06540823970037453
harpistkt,1,0.16322654462242564,43700.0,43700,3.7351612041745e-06,False,low,False,Rising,0.06529061784897026
ish_perera,1,0.1629324546952224,60700.0,60700,2.684224953792791e-06,False,low,False,Rising,0.06517298187808897
zoyerss,1,0.16258992805755396,27800.0,27800,5.848558563221365e-06,False,low,False,Rising,0.06503597122302159
cl_audio,2,0.08062008730779255,1263950.0,2400000,2.5104905754941615e-07,False,medium,False,Other,0.06449606984623404
chouffevon,1,0.1609867629362214,83100.0,83100,1.937265498630823e-06,False,low,False,Rising,0.06439470517448857
jesse_jones,1,0.16076230492196877,166600.0,166600,9.649598134571954e-07,False,low,False,Rising,0.06430492196878751
sarah.annne,2,0.08031173079414432,87000.0,99600,9.201107060204679e-07,False,medium,False,Other,0.06424938463531546
allansalesn,1,0.15989754098360656,48800.0,48800,3.276588954582102e-06,False,low,False,Rising,0.06395901639344263
chef.lukeyluc,2,0.07938471681096682,773250.0,1200000,1.3897778871611393e-07,False,medium,False,Other,0.06350777344877345
francisxvk,2,0.07910779056192682,40500.0,46700,1.9729125398867982e-06,False,medium,False,Other,0.06328623244954146
me_gusta_la_lechuga,1,0.15754742919989,3637.0,3637,4.331796238655211e-05,False,low,False,Rising,0.063018971679956
sem.houmes,1,0.15737179487179487,46800.0,46800,3.3626451895682665e-06,False,low,False,Rising,0.06294871794871795
ryan_smith00,1,0.15680252986647927,142300.0,142300,1.101915178260571e-06,False,low,False,Rising,0.06272101194659171
f1.daniii,3,0.062457898957497995,179900.0,249400,2.8775791380610747e-07,False,high,False,Other,0.062457898957497995
tudo.fit,1,0.1560875244937949,153100.0,153100,1.0195135499268119e-06,False,low,False,Rising,0.06243500979751796
j_a_n_a_k__a,1,0.15607142857142858,14000.0,14000,1.114795918367347e-05,False,low,False,Rising,0.06242857142857144
juliiieanne,1,0.1560279187817259,78800.0,78800,1.9800497307325622e-06,False,low,False,Rising,0.06241116751269036
lovely_nobru_,1,0.15558762886597938,97000.0,97000,1.603996173876076e-06,False,low,False,Rising,0.06223505154639175
sl.notiya2,1,0.15557692307692308,10400.0,10400,1.495931952662722e-05,False,low,False,Rising,0.062230769230769235
